Species1,Species2,MedianDistance
9AMPH,9AMPH,0.0178451785
9AMPH,9CHIR,0.0732196155
9AMPH,9PASS,0.2527355295
9AMPH,9PRIM,0.053481627000000004
9AMPH,9SAUR,0.45746481099999997
9AMPH,ACIJB,0.0647057815
9AMPH,AILME,0.0767705065
9AMPH,ARCCL,0.081585508
9AMPH,ASEST,0.0997135
9AMPH,ATHCN,0.246265484
9AMPH,BALAC,0.077990559
9AMPH,BALMU,0.079503735
9AMPH,BISBB,0.08170830400000001
9AMPH,BOSGR,0.06989168550000001
9AMPH,BOSIN,0.06989168800000001
9AMPH,BOVIN,0.0830974985
9AMPH,CALJA,0.106837946
9AMPH,CALUR,0.07512000499999999
9AMPH,CAMBA,0.070899869
9AMPH,CAMFR,0.067132467
9AMPH,CANLF,0.09229752699999999
9AMPH,CASCN,0.085041335
9AMPH,CATUS,0.24006116000000002
9AMPH,CAVPO,0.054468822
9AMPH,CEBIM,0.07316613400000001
9AMPH,CHICK,0.21073634500000002
9AMPH,CHILA,0.07060004
9AMPH,CHRAS,0.078755368
9AMPH,COEFR,0.10828273999999999
9AMPH,COTJA,0.245851917
9AMPH,CRIGR,0.057802133000000006
9AMPH,CYNSP,0.135683735
9AMPH,DELLE,0.11171884
9AMPH,DIPOR,0.10510591500000001
9AMPH,ECHTE,0.09444857200000001
9AMPH,EOSFB,0.061552241
9AMPH,EQUAS,0.0446212095
9AMPH,EQUPR,0.0729606235
9AMPH,ERIEU,0.0710991575
9AMPH,FELCA,0.07144041300000001
9AMPH,GEOSA,0.026140633
9AMPH,GORGO,0.130746197
9AMPH,HETGA,0.130370429
9AMPH,HIPAR,0.10348126199999999
9AMPH,HUMAN,0.0978816685
9AMPH,HYLLA,0.058364506000000003
9AMPH,LEPWE,0.0679306745
9AMPH,LOXAF,0.072589617
9AMPH,MARMA,0.061588912
9AMPH,MICMU,0.0534816165
9AMPH,MICOH,0.054638551
9AMPH,MONMO,0.0693555185
9AMPH,MOUSE,0.0670952465
9AMPH,MUSCR,0.070277254
9AMPH,MUSPF,0.077996835
9AMPH,MYOPI,0.062973854
9AMPH,NEOAA,0.0938864375
9AMPH,NEOSC,0.0806251365
9AMPH,NOMLE,0.06859476549999999
9AMPH,OCTDE,0.0834771785
9AMPH,ODORO,0.07076344600000001
9AMPH,ODOVR,0.078114199
9AMPH,ORYAF,0.072517923
9AMPH,PANGU,0.34339427499999997
9AMPH,PANPR,0.066309321
9AMPH,PANTR,0.0499589585
9AMPH,PHOSS,0.08985189900000001
9AMPH,PHYMC,0.09349707850000001
9AMPH,PONAB,0.051679115
9AMPH,PONPY,0.05167912
9AMPH,PROSS,0.053388011500000006
9AMPH,PTEVA,0.126277507
9AMPH,PUMCO,0.105288324
9AMPH,RAT,0.057924584
9AMPH,RHIFE,0.10755368400000001
9AMPH,RHIRO,0.048835438
9AMPH,SAGOE,0.29616746
9AMPH,SAPAP,0.058366788
9AMPH,SURSU,0.0759866535
9AMPH,TAEGU,0.257023155
9AMPH,TAPME,0.053460698
9AMPH,TRIMA,0.1226607295
9AMPH,TURTR,0.08985190900000001
9AMPH,TYLPA,0.082309621
9AMPH,UROPR,0.061588912
9AMPH,URSMA,0.140074647
9AMPH,VICPA,0.0697577385
9AMPH,VULVU,0.09229752299999999
9AMPH,ZALCA,0.073578328
9ANUR,9AMPH,0.299371921
9ANUR,9AVES,0.2407973915
9ANUR,9CHIR,0.287106327
9ANUR,9CICH,0.660071394
9ANUR,9PASE,0.183952665
9ANUR,9PASS,0.41831651599999997
9ANUR,9PLAT,4.1628110715
9ANUR,9PRIM,0.279034507
9ANUR,9SAUR,0.25713142
9ANUR,9TELE,0.6699346175
9ANUR,ACIJB,0.29053976
9ANUR,ACIOX,0.36338643200000004
9ANUR,AILME,0.303132445
9ANUR,ALLSI,0.232042725
9ANUR,ARAGI,0.9312349974999999
9ANUR,ARCCL,0.309023041
9ANUR,ASEST,0.327151033
9ANUR,ATHCN,0.2891102595
9ANUR,AUSLI,0.6653391055
9ANUR,AYTFU,0.261872837
9ANUR,BALAC,0.3054280945
9ANUR,BALMU,0.306941268
9ANUR,BETSP,0.6542295730000001
9ANUR,BISBB,0.30914583700000003
9ANUR,BOSGR,0.29732921300000004
9ANUR,BOSIN,0.297329226
9ANUR,BOVIN,0.3039321225
9ANUR,CALJA,0.334275479
9ANUR,CALUR,0.30255753799999996
9ANUR,CAMBA,0.29833740249999996
9ANUR,CAMFR,0.29457
9ANUR,CANLF,0.31973505999999996
9ANUR,CASCN,0.31247886799999997
9ANUR,CATUS,0.32596368800000003
9ANUR,CAVPO,0.281906355
9ANUR,CEBIM,0.300603667
9ANUR,CHACN,0.528193618
9ANUR,CHEAB,0.242211073
9ANUR,CHESE,0.242182729
9ANUR,CHICK,0.238786216
9ANUR,CHILA,0.298037573
9ANUR,CHRAS,0.300556031
9ANUR,CLUHA,0.646887055
9ANUR,COEFR,0.33572027299999996
9ANUR,COTCN,3.284204222
9ANUR,COTGO,0.643741676
9ANUR,COTJA,0.47328945
9ANUR,CRIGR,0.285239666
9ANUR,CROPO,0.223009131
9ANUR,CYACU,0.118696642
9ANUR,CYNSP,0.363121268
9ANUR,DANRE,0.6578809705
9ANUR,DELLE,0.339156373
9ANUR,DIPOR,0.32524439099999997
9ANUR,ECHTE,0.321886105
9ANUR,EOSFB,0.28898977400000003
9ANUR,EQUAS,0.270408516
